PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK
1630208,Nick Richards,45,8,37,0.178,25.9,106.3,119.7,-13.4,9.7,0.111,0.244,0.175,12.526,0.133,99.85,176,363,516,477,161,411,486,484,470,62,49,49,51,429,396
1629014,Anfernee Simons,31,7,24,0.226,33.5,108.1,120.2,-12.1,18.9,0.015,0.11,0.059,9.349,0.29,99.83,318,382,410,457,46,369,495,469,228,456,371,437,51,30,397
1628418,Thomas Bryant,25,14,11,0.56,10.4,110.6,115.9,-5.3,12.9,0.108,0.235,0.17,12.856,0.173,99.83,349,279,174,220,389,293,386,367,398,65,58,59,51,260,397
1629048,Goga Bitadze,46,23,23,0.5,18.2,110.4,109.0,1.4,21.7,0.128,0.214,0.171,10.535,0.125,99.83,168,164,398,274,254,302,125,196,155,41,88,56,51,460,397
1628964,Mo Bamba,32,18,14,0.563,10.6,110.3,110.7,-0.4,12.1,0.137,0.238,0.186,14.672,0.173,99.83,308,241,220,218,384,304,181,247,409,26,54,40,51,260,397
1629651,Nic Claxton,44,16,28,0.364,29.4,108.3,114.3,-6.0,14.8,0.101,0.275,0.184,9.105,0.162,99.81,189,260,462,397,107,364,334,375,341,70,25,43,51,317,401
202685,Jonas Valanciunas,55,33,22,0.6,25.5,117.6,113.8,3.8,16.2,0.119,0.298,0.21,9.544,0.206,99.78,6,37,381,168,171,88,317,149,295,53,18,18,51,150,402
202694,Marcus Morris Sr.,37,22,15,0.595,17.2,111.7,113.3,-1.6,9.8,0.03,0.165,0.095,7.147,0.162,99.74,257,188,235,180,279,262,292,283,467,325,169,233,51,317,403
1628998,Cody Martin,22,5,17,0.227,26.3,107.2,118.2,-11.0,25.7,0.031,0.136,0.082,12.014,0.164,99.71,368,424,290,456,154,389,450,453,98,323,261,310,51,303,404
1628420,Monte Morris,9,5,4,0.556,12.6,109.2,112.1,-2.9,22.0,0.02,0.151,0.082,4.391,0.207,99.7,457,424,66,228,349,344,232,315,151,420,202,311,1,148,405
201959,Taj Gibson,16,7,9,0.438,10.3,104.6,111.4,-6.9,23.8,0.069,0.125,0.097,13.2,0.079,99.7,412,382,135,347,390,446,205,391,121,148,304,227,51,528,405
201567,Kevin Love,44,23,21,0.523,17.6,114.9,109.5,5.4,21.8,0.064,0.34,0.198,7.557,0.205,99.65,189,164,365,262,267,163,138,119,153,167,8,28,51,154,407
1626157,Karl-Anthony Towns,54,38,16,0.704,32.7,115.3,107.9,7.4,12.4,0.054,0.233,0.149,12.165,0.275,99.63,19,10,258,60,56,153,98,87,403,200,61,88,51,42,408
1626179,Terry Rozier,40,11,29,0.275,34.1,109.6,120.6,-11.0,23.6,0.021,0.118,0.067,7.074,0.264,99.59,232,310,474,434,35,327,499,453,124,403,341,396,51,50,409
1630573,Sam Hauser,54,43,11,0.796,21.5,117.8,108.3,9.5,12.2,0.032,0.127,0.081,6.096,0.138,99.54,19,1,174,22,218,79,107,56,407,315,295,316,51,406,410
1641877,Nathan Mensah,25,3,22,0.12,12.3,94.2,115.9,-21.8,16.0,0.098,0.145,0.119,24.876,0.068,99.52,349,448,381,504,357,504,386,516,305,79,221,157,502,531,411
203648,Thanasis Antetokounmpo,23,15,8,0.652,4.6,108.7,109.5,-0.8,27.9,0.068,0.038,0.051,23.256,0.134,99.49,358,270,126,111,490,356,138,260,69,150,510,483,502,422,412
1630197,Aleksej Pokusevski,10,8,2,0.8,6.0,97.6,131.9,-34.2,19.4,0.036,0.167,0.097,11.646,0.149,99.4,448,363,33,18,462,496,529,526,213,284,163,228,51,371,413
203999,Nikola Jokic,53,35,18,0.66,33.8,119.4,111.4,8.0,27.9,0.101,0.297,0.202,9.182,0.296,99.38,42,26,320,101,43,40,205,80,70,69,19,22,51,25,414
1630219,Skylar Mays,29,10,19,0.345,14.2,102.6,117.4,-14.8,31.5,0.025,0.095,0.056,7.211,0.186,99.37,331,330,335,409,322,466,429,494,44,372,428,453,51,215,415
1630235,Trent Forrest,20,10,10,0.5,10.5,104.9,120.8,-15.9,40.2,0.024,0.122,0.068,10.536,0.126,99.37,381,330,152,274,385,444,502,495,13,382,321,385,51,454,415
1630241,Sam Merrill,37,27,10,0.73,15.6,113.0,110.3,2.7,18.7,0.028,0.102,0.065,3.669,0.184,99.36,257,110,152,45,300,229,159,172,230,348,407,403,1,221,417
1629028,Deandre Ayton,37,10,27,0.27,31.7,106.7,114.7,-8.0,10.9,0.104,0.271,0.185,11.234,0.188,99.34,257,330,453,437,74,400,345,417,446,67,29,42,51,204,418
1627936,Alex Caruso,47,23,24,0.489,27.1,111.2,107.8,3.4,23.6,0.04,0.12,0.079,11.522,0.15,99.32,155,164,410,296,140,275,96,160,126,264,328,322,51,367,419
1631121,Bryce McGowens,43,8,35,0.186,16.4,105.3,118.1,-12.8,14.8,0.023,0.111,0.065,9.222,0.146,99.32,202,363,508,473,291,436,447,477,346,385,368,405,51,383,419
1631288,Jamal Cain,16,7,9,0.438,14.1,105.3,109.9,-4.6,4.5,0.063,0.101,0.081,5.674,0.163,99.3,412,382,135,347,325,436,150,349,513,171,410,317,51,308,421
1626196,Josh Richardson,43,24,19,0.558,25.6,108.4,112.4,-4.0,20.5,0.019,0.108,0.063,7.035,0.165,99.3,202,148,335,223,168,361,251,342,178,426,380,411,51,297,421
1628973,Jalen Brunson,52,32,20,0.615,35.9,118.0,113.7,4.3,20.2,0.018,0.102,0.06,7.401,0.3,99.29,65,45,354,153,9,72,311,142,185,433,406,431,51,22,423
203496,Robert Covington,29,20,9,0.69,16.8,114.7,103.5,11.1,16.6,0.073,0.143,0.11,7.616,0.107,99.29,331,216,135,70,283,170,49,39,288,135,230,176,51,503,423
1629010,Jerome Robinson,9,7,2,0.778,3.3,122.4,105.4,16.9,14.7,0.032,0.08,0.054,0.0,0.161,99.29,457,382,33,28,512,16,59,21,349,314,471,471,1,323,423
1641753,Chris Livingston,15,9,6,0.6,4.1,122.8,119.1,3.8,18.3,0.044,0.218,0.14,13.711,0.133,99.28,423,349,100,168,493,15,475,149,245,243,79,108,51,429,426
1628975,Jevon Carter,52,25,27,0.481,13.7,108.2,109.5,-1.3,16.6,0.008,0.056,0.031,7.898,0.186,99.26,65,136,453,304,332,367,138,273,289,495,505,518,51,215,427
1627827,Dorian Finney-Smith,45,18,27,0.4,28.1,111.7,113.7,-2.0,13.9,0.06,0.118,0.088,7.4,0.136,99.24,176,241,453,372,126,262,311,293,364,179,335,268,51,415,428
200782,P.J. Tucker,15,6,9,0.4,15.9,111.5,109.4,2.1,24.8,0.075,0.126,0.1,12.376,0.045,99.24,423,403,135,372,294,268,136,184,111,130,299,206,51,533,428
201935,James Harden,48,33,15,0.688,34.6,121.0,110.7,10.3,34.2,0.015,0.146,0.084,10.35,0.206,99.22,140,37,235,72,27,22,181,48,31,461,211,294,51,150,430
1630570,Trendon Watford,38,14,24,0.368,12.1,115.9,116.1,-0.2,20.8,0.077,0.171,0.123,9.843,0.192,99.17,253,279,410,393,359,138,391,240,172,127,159,143,51,197,431
203995,Vasilije Micic,33,26,7,0.788,13.0,118.2,101.3,16.9,36.8,0.006,0.071,0.041,13.719,0.169,99.14,297,119,112,24,345,63,33,21,23,498,488,510,51,279,432
1641734,Emoni Bates,10,6,4,0.6,7.6,92.8,126.9,-34.2,18.2,0.015,0.134,0.074,3.041,0.159,99.12,448,403,66,168,433,508,520,526,246,462,272,341,1,332,433
1629661,Cameron Johnson,41,15,26,0.366,28.2,112.8,115.8,-3.0,17.0,0.038,0.144,0.088,6.348,0.194,99.11,224,270,439,396,124,232,383,321,275,276,227,262,51,186,434
1631260,AJ Green,36,24,12,0.667,9.3,118.4,113.1,5.3,14.0,0.022,0.103,0.065,2.675,0.172,99.1,274,148,184,88,402,57,275,121,362,392,399,404,1,265,435
202704,Reggie Jackson,55,36,19,0.655,23.1,112.4,113.6,-1.2,26.0,0.021,0.079,0.051,8.556,0.212,99.09,6,18,335,108,200,241,308,270,93,406,474,483,51,141,436
1629130,Duncan Robinson,50,28,22,0.56,27.4,111.6,110.9,0.7,19.0,0.009,0.092,0.05,9.016,0.194,99.08,98,98,381,220,132,266,189,210,226,492,441,485,51,186,437
